1,А
2,аравдугаар зүйлийн а
3,тавын а анги
4,"а үсэг эрдмийн дээж, аяга цай идээний дээж"
5,"а гэж эрдэм сурдаг, аав гэж хэлд ордог"
6,"а үсгийн ацаг мэдэхгүй, арав хүртэл тоо мэдэхгүй"
7,"а, ма-гүй"
8,"а, э-гүй"
9,"амандаа а-гүй, алгандаа падгүй"
10,АА I
11,АА II
12,аа тийм
13,аа тэг
14,аа зөв
15,аа зайлуул
16,аа хөөрхий
17,аа золиг
18,аа бүү мэд
19,аа  тийм үү
20,аа юу гэнэ ээ
21,аа тэр яах вэ
22,аа эс мэдсэн биш
23,аа лаа лаа
24,АА III
25,аа хулга
26,аа хулга газар
27,аа хулга өнжив
28,аа хулга суух
29,аа хулга бичгийн тамга
30,АА IV
31,аа ихтэй
32,аа нь хөдлөх
33,аатай хүн
34,ААВ
35,буурал аав
36,өвгөн аав
37,хадам аав
38,хойд аав
39,аав ээж
40,аавын цээж
41,аавын цээж гаргах
42,аавын шийр хатаах
43,баалж тавлах
44,аавдаа адуу манахыг заах ~ аавдаа авгай авахыг заах
45,аавынд орох ~ аавынд суух ~ аавынд очих
46,аавын хаалга татах
47,"аавын бийд хүн тань, агтны бийд газар үз"
48,"аавын сургаал алт, ээжийн сургаал эрдэнэ"
49,"аавын хүү адилгүй, арван хуруу тэгшгүй"
50,ААВАРХАГ
51,ААВАРХАХ
52,аавархах зантай
53,ААВАРХУУ
54,тэр манай аавархуу хүн
55,аавархуу зантай
56,ААВАРХУУЛАХ
57,ААВСАГ
58,ААГ II
59,ааг амтагдах
60,ааг сайтай
61,ааг гарах
62,архины ааг
63,цайны ааг
64,ааг амт
65,ААГ I
66,ааг амтагдах
67,ааг ихтэй
68,ааг нь хэтрэх
69,"ааг нь ихдэж, ажил нь багадах"
70,аагийг нь дарах
71,None
72,залуугийн ааг
73,ааг зориг
74,ааг омог
75,ааг тэнхээ
76,ааг хав
77,ааг хүч
78,ааг чадал
79,ааг амьсгаагүй
80,аагтай халуун
81,архины ааг сархдын сандуугаар ам мурийх
82,аагийн хүү аавын хүүг дийлдэг
83,ААГ III
84,жадны ааг
85,сүхний ааг
86,хөрөөний ааг
87,хутганы ааг
88,өрөлбийн ааг
89,хайчны ааг
90,None
91,None
92,ааг зоог
93,ааг зоог хийх
94,ААГА I
95,аага ялгах
96,аагаар тэжээх
97,будааны аага
98,тарианы аага
99,аага идсэн илжиг адуу даган гүйх
100,ААГА II
101,ааган ихэл
102,ааган товшуур
103,ААГАА
104,ААГАЛАГ
